default,balance,housing,loan
no,787,yes,no
no,59,yes,no
no,253,yes,no
no,211,yes,no
no,235,yes,no
no,4384,yes,no
no,4080,no,no
no,53,yes,yes
no,0,yes,no
no,2127,yes,no
no,377,yes,no
no,73,yes,no
no,445,yes,no
no,243,yes,no
no,307,yes,no
no,155,yes,no
no,173,no,yes
no,400,yes,no
no,1428,yes,no
no,219,yes,no
no,7,yes,no
no,575,yes,no
no,298,yes,no
no,0,yes,no
no,5699,yes,no
no,176,yes,yes
no,517,yes,no
no,257,yes,no
no,56,yes,no
no,-390,yes,no
no,330,yes,no
no,195,no,no
no,301,yes,no
no,-41,yes,no
no,483,yes,no
no,28,no,no
no,13,no,no
no,965,no,no
no,378,yes,yes
no,219,yes,no
no,324,yes,no
no,-69,yes,no
no,0,no,yes
no,205,yes,no
no,278,yes,no
no,1065,yes,no
no,34,yes,no
no,1033,no,no
no,1467,yes,no
no,-12,yes,no
no,388,yes,no
no,294,yes,no
no,1827,no,no
no,627,yes,no
no,25,yes,no
no,315,yes,no
no,0,yes,no
no,66,yes,no
no,-9,yes,yes
no,349,yes,yes
no,100,yes,no
no,0,no,no
no,434,yes,no
no,3237,yes,no
no,275,no,no
no,0,yes,no
no,207,yes,no
no,483,yes,no
no,2248,yes,no
no,428,yes,no
no,0,yes,yes
no,0,yes,no
no,140,yes,no
no,297,yes,no
no,279,yes,no
no,901,yes,no
no,2573,yes,no
no,143,yes,yes
no,475,yes,no
no,70,yes,no
no,318,yes,no
no,275,yes,no
no,742,yes,no
no,236,yes,no
no,25,yes,no
no,600,yes,no
no,-349,yes,no
no,183,yes,yes
no,0,yes,no
no,0,yes,yes
no,0,yes,no
no,1078,yes,no
no,155,no,no
no,190,yes,no
no,319,yes,no
no,-185,yes,no
no,47,no,no
no,570,yes,no
no,19,no,no
no,61,yes,no
no,-62,yes,yes
no,258,no,no
no,76,yes,no
no,0,yes,no
no,352,yes,no
no,368,yes,no
no,339,yes,no
no,1331,yes,no
no,672,yes,no
no,58,yes,no
no,447,yes,no
no,423,yes,no
no,0,no,no
no,19,yes,no
no,13,yes,no
no,3,yes,no
no,82,yes,no
no,28,yes,no
no,792,yes,no
no,408,yes,no
no,531,yes,no
no,211,yes,no
no,62,yes,no
no,257,yes,no
no,1234,yes,no
no,313,yes,no
no,89,yes,no
no,129,yes,yes
no,0,yes,no
no,353,yes,no
no,851,yes,no
no,96,yes,yes
no,398,yes,yes
no,193,no,no
no,-358,yes,no
no,539,yes,yes
no,0,yes,no
no,0,no,no
no,490,yes,no
no,0,yes,no
no,403,yes,no
no,161,yes,no
no,2558,no,no
no,98,yes,no
no,115,no,no
no,436,yes,no
no,831,yes,no
no,206,yes,no
no,290,yes,no
no,1,no,no
no,57,yes,no
no,-457,yes,no
no,1387,yes,no
no,24598,yes,no
no,30,yes,no
no,1022,yes,no
no,56,yes,yes
yes,-2,no,no
no,121,yes,no
no,842,yes,no
no,693,yes,no
no,-333,yes,no
no,1533,yes,no
no,46,yes,no
no,18,no,no
no,44,yes,no
no,-100,yes,no
no,510,yes,no
no,685,yes,no
no,187,yes,no
no,66,yes,no
no,560,yes,no
no,0,yes,no
no,27,no,no
no,12,yes,no
no,34,yes,no
no,1068,yes,no
no,211,yes,no
no,377,yes,no
no,263,yes,no
no,1263,yes,no
no,8,yes,no
no,126,yes,yes
no,230,yes,no
no,841,yes,no
no,308,yes,no
no,1,yes,no
no,86,yes,no
no,157,yes,no
no,22,yes,no
no,46,yes,yes
no,1293,no,no
no,122,yes,no
no,131,yes,no
no,143,yes,no
no,393,no,no
no,98,yes,no
no,0,yes,no
no,224,yes,no
no,757,yes,no
no,245,yes,yes
no,8486,no,no
no,350,no,no
no,20,yes,no
no,1667,yes,yes
no,345,yes,no
no,10,yes,no
no,830,yes,yes
no,29,yes,no
no,545,yes,no
no,8730,yes,no
no,477,yes,no
no,4,yes,no
no,1205,yes,no
no,0,yes,yes
no,263,yes,no
no,1,no,no
no,283,no,yes
no,206,yes,no
no,17,yes,no
no,141,yes,yes
no,16,yes,no
no,206,yes,no
no,7,no,no
no,0,no,no
no,0,no,no
no,1927,yes,no
no,284,yes,no
no,1660,yes,no
no,406,yes,no
no,230,yes,no
no,-25,yes,no
no,182,yes,no
no,1169,yes,no
no,67,yes,no
no,77,no,no
no,0,yes,no
no,55,yes,yes
yes,72,yes,no
no,163,yes,no
no,151,yes,no
no,113,yes,no
no,0,yes,no
no,9,yes,no
no,375,yes,no
no,1142,yes,no
no,2102,yes,no
no,4325,yes,no
no,217,yes,no
no,131,yes,no
no,1680,yes,no
no,0,yes,no
no,46,yes,no
no,320,yes,no
no,183,yes,no
no,39,no,no
no,560,yes,no
no,469,no,no
no,530,yes,no
no,61,yes,no
no,242,yes,no
no,139,yes,no
no,0,yes,no
no,367,yes,no
no,228,yes,no
no,45248,yes,no
no,-84,yes,no
no,310,yes,no
no,132,yes,no
no,797,yes,no
no,71,no,no
no,2,yes,no
no,231,yes,yes
no,270,yes,yes
no,274,yes,yes
no,-109,yes,yes
no,1,yes,no
yes,-60,no,no
no,89,yes,no
no,-11,no,no
no,0,yes,no
no,-509,yes,no
no,408,yes,no
no,58,yes,no
no,1640,no,yes
no,20,yes,no
no,71,yes,no
no,52,yes,no
no,292,yes,no
no,424,yes,no
no,109,yes,no
no,1044,yes,no
no,983,yes,no
no,869,no,no
no,668,yes,no
no,964,yes,no
no,301,yes,no
no,140,yes,no
no,1877,yes,no
no,1127,yes,no
no,871,yes,no
no,767,yes,yes
no,0,no,no
no,209,yes,no
no,0,no,no
no,110,yes,yes
no,-76,yes,yes
no,178,yes,no
no,-66,yes,no
no,0,yes,no
no,1,yes,no
no,0,yes,no
no,5345,no,no
no,-209,yes,no
no,0,yes,no
no,42,yes,no
no,41,yes,no
no,-99,yes,no
no,17,yes,no
no,276,yes,yes
no,-170,no,no
no,230,yes,yes
no,9,yes,no
no,946,yes,no
no,1297,yes,no
no,-331,yes,no
no,44,yes,no
yes,15,no,no
no,712,yes,no
no,5435,yes,no
no,507,yes,no
no,387,yes,no
no,0,yes,yes
no,1716,yes,no
no,167,yes,yes
no,40,no,yes
no,148,yes,no
no,17,yes,yes
no,1011,yes,no
no,1527,yes,no
no,744,no,no
no,484,yes,no
no,0,yes,no
no,136,yes,no
no,1335,yes,no
no,517,yes,no
no,459,yes,no
no,549,yes,no
no,83,yes,yes
no,213,no,no
no,203,yes,no
no,518,yes,no
no,3877,yes,no
no,1236,yes,no
no,756,yes,no
no,157,yes,no
no,-66,yes,no
no,245,yes,no
no,-144,yes,no
no,71,yes,no
no,505,yes,no
no,249,yes,no
no,0,yes,no
no,11,yes,no
no,639,yes,no
no,124,yes,no
no,82,yes,no
no,107,yes,no
no,473,yes,no
no,372,yes,yes
no,46,yes,no
no,34,yes,no
no,935,yes,no
no,-10,yes,no
no,-106,yes,no
no,471,yes,no
no,778,yes,no
no,170,yes,no
no,315,yes,no
no,3165,no,no
no,131,yes,no
yes,204,yes,no
no,83,yes,no
no,0,yes,yes
no,5431,yes,yes
no,1759,yes,no
no,-125,yes,no
no,0,no,no
no,5090,yes,no
no,573,yes,no
no,1602,yes,no
yes,-137,yes,yes
no,0,no,no
no,193,no,no
no,195,yes,yes
no,288,no,no
no,19,yes,no
no,25,yes,no
no,216,yes,no
no,190,yes,yes
no,99,yes,no
no,2298,yes,no
no,17,yes,no
no,0,yes,no
no,0,yes,no
no,840,yes,no
no,358,yes,no
no,0,yes,no
no,-325,yes,yes
no,-15,yes,no
no,581,yes,no
no,4070,yes,no
no,74,no,yes
no,141,yes,no
no,89,no,no
yes,0,yes,no
no,450,no,no
no,310,no,no
no,0,yes,no
no,384,yes,no
no,395,yes,no
no,-118,yes,no
no,5,yes,yes
no,50,yes,yes
no,285,yes,yes
no,15,no,no
no,653,yes,yes
no,918,yes,no
no,243,yes,yes
no,405,yes,no
no,1328,yes,no
no,255,yes,no
no,3397,yes,no
no,2106,yes,no
no,2877,yes,no
no,60,yes,yes
no,2226,yes,no
no,2880,yes,no
no,-5,yes,no
no,147,no,no
no,7,yes,yes
no,109,yes,no
no,-119,yes,no
no,484,yes,no
no,1852,yes,no
no,533,yes,no
no,21,yes,no
no,2434,yes,no
no,90,yes,yes
no,4246,yes,no
no,395,yes,no
no,15,yes,no
no,85,no,no
no,-184,yes,yes
no,660,no,no
yes,-183,yes,no
no,1144,yes,no
no,1,yes,no
no,69,yes,yes
no,220,yes,no
no,332,yes,no
no,240,yes,no
no,0,yes,no
no,0,yes,no
no,898,yes,no
no,123,yes,yes
no,252,yes,no
no,65,yes,no
no,-366,yes,yes
no,209,yes,no
no,221,yes,no
no,4,yes,no
no,104,yes,no
no,312,yes,no
no,-349,yes,no
no,4,no,no
no,-322,yes,yes
no,-150,yes,no
no,1349,yes,no
no,281,yes,no
no,1259,yes,no
no,101,yes,no
no,848,yes,no
no,89,yes,no
no,140,yes,no
no,148,yes,no
no,200,yes,no
no,46,yes,no
no,201,yes,no
no,530,yes,no
no,0,yes,no
no,1,yes,no
no,43,yes,no
no,-173,yes,no
no,389,yes,no
no,215,yes,yes
no,-131,yes,no
no,783,yes,no
no,0,yes,no
no,80,yes,no
no,105,yes,no
no,182,yes,yes
no,82,yes,no
no,0,yes,no
no,510,yes,no
no,242,yes,no
no,244,yes,yes
no,92,yes,no
yes,0,yes,no
no,948,yes,no
no,23,yes,no
no,710,yes,no
no,1205,yes,no
no,368,yes,yes
no,1631,yes,no
no,6,yes,no
no,26,yes,no
no,-48,yes,no
no,2142,yes,no
no,77,yes,yes
no,401,yes,no
no,21,no,no
no,0,yes,no
no,-497,yes,no
no,369,no,no
no,78,yes,no
no,226,yes,yes
no,503,yes,no
no,372,yes,no
no,0,yes,yes
no,0,yes,no
no,125,yes,no
no,4,yes,no
no,419,yes,no
no,322,yes,no
no,303,yes,no
no,607,yes,no
no,579,yes,no
no,3047,yes,no
no,83,yes,no
no,68,yes,no
no,58,yes,no
no,251,yes,no
no,688,yes,no
no,364,yes,no
no,55,yes,no
no,101,yes,no
no,105,yes,no
no,325,yes,no
no,198,yes,no
no,209,yes,no
no,183,yes,no
no,105,yes,no
no,109,yes,no
no,376,yes,yes
no,-7,yes,no
no,0,no,no
no,143,yes,no
no,550,yes,no
no,162,yes,no
no,115,yes,no
no,512,yes,no
no,807,yes,no
no,248,yes,no
no,1211,yes,no
no,7,no,no
no,281,yes,no
no,88,yes,no
no,32,yes,no
no,115,yes,no
no,254,yes,no
no,144,yes,no
no,383,no,no
no,569,yes,yes
no,0,yes,no
no,3754,yes,no
no,6920,yes,no
no,307,yes,yes
no,-421,yes,no
no,60,no,no
no,67,yes,no
no,402,yes,no
no,800,no,no
no,239,yes,yes
no,421,yes,no
no,161,yes,no
yes,289,no,no
no,110,yes,no
no,245,yes,no
no,0,yes,no
no,156,yes,no
no,0,yes,no
no,20,yes,no
no,92,yes,no
no,89,yes,no
no,166,yes,no
no,103,yes,no
no,-454,yes,no
no,445,yes,no
no,4,no,no
no,1001,yes,no
no,-69,yes,no
no,42,yes,no
no,1617,yes,no
no,221,yes,no
no,210,yes,yes
no,0,no,no
no,185,yes,no
no,836,yes,no
no,301,yes,no
no,503,yes,no
no,407,yes,no
no,53,yes,no
no,2303,yes,no
no,144,yes,no
no,205,yes,no
no,305,yes,no
no,251,yes,yes
no,0,yes,no
no,8,no,no
no,139,yes,no
no,184,yes,no
no,238,yes,no
no,0,no,no
yes,0,yes,no
no,222,yes,no
no,414,yes,no
no,223,yes,no
no,197,no,no
no,-251,yes,no
no,-139,yes,no
no,733,yes,no
no,0,yes,no
no,1,no,no
no,97,yes,no
no,435,yes,no
no,0,yes,no
no,147,no,no
no,3,yes,no
no,1109,yes,yes
no,404,yes,no
no,981,yes,no
no,95,yes,no
no,302,yes,no
no,-290,yes,yes
no,259,yes,no
no,527,yes,yes
no,102,yes,no
no,872,yes,no
no,490,yes,no
no,19,yes,no
no,16,yes,no
no,386,yes,no
no,539,yes,no
no,-329,yes,no
no,-174,yes,no
no,68,yes,no
yes,-532,yes,no
no,0,yes,no
no,64,yes,no
no,1415,yes,no
no,147,yes,no
no,72,yes,no
no,-196,yes,no
no,716,yes,no
no,0,yes,no
no,-246,yes,no
no,-203,yes,no
no,245,yes,yes
no,342,yes,no
no,3,yes,no
yes,-248,yes,yes
no,376,yes,no
no,370,yes,no
no,594,yes,no
no,387,yes,no
no,208,yes,no
no,563,yes,no
no,392,yes,yes
no,165,no,no
no,236,yes,no
no,52,yes,no
no,1265,yes,no
no,693,yes,no
no,118,yes,no
no,3659,yes,no
no,24,yes,no
no,673,yes,no
no,273,no,no
no,327,yes,no
no,299,yes,no
no,0,yes,no
no,109,yes,no
no,552,no,no
no,473,yes,no
no,414,yes,no
no,154,yes,no
no,344,yes,no
no,8,yes,no
no,78,yes,no
no,266,yes,no
no,98,yes,yes
no,83,yes,no
yes,45,yes,no
no,8,yes,no
no,263,yes,no
no,306,yes,no
no,233,yes,no
no,447,no,yes
no,872,yes,no
no,-291,yes,yes
no,309,yes,yes
no,202,yes,no
no,56,yes,yes
no,229,yes,yes
no,143,yes,no
no,100,yes,no
no,326,yes,no
no,167,yes,no
no,545,yes,no
no,2100,yes,yes
no,0,yes,yes
no,192,yes,no
no,442,yes,no
no,267,yes,no
no,0,yes,no
no,377,yes,no
no,7624,no,no
no,66,yes,no
no,37,yes,no
no,64,yes,no
no,34,yes,no
no,627,yes,no
no,1013,yes,no
no,140,yes,no
no,8823,yes,no
no,97,yes,no
no,5,yes,no
no,74,yes,no
no,58544,yes,no
no,169,yes,no
no,444,yes,no
no,542,yes,no
no,-205,yes,no
no,112,yes,no
no,39,no,no
no,1268,yes,no
no,-98,yes,no
no,44,yes,yes
no,-90,yes,yes
no,0,no,no
yes,-94,yes,yes
yes,-345,yes,no
no,-932,yes,no
no,20,yes,no
no,90,yes,no
no,31,yes,no
no,134,yes,yes
no,0,yes,no
no,61,yes,no
yes,-5,yes,no
no,-45,no,no
no,156,yes,yes
no,564,yes,no
no,-6,yes,no
no,528,no,no
no,1481,yes,no
no,2019,no,no
no,1855,yes,no
no,147,yes,yes
no,220,yes,no
no,198,yes,no
no,115,no,no
no,87,yes,no
no,644,yes,no
no,225,yes,yes
no,502,yes,no
no,-32,yes,no
no,106,yes,no
no,301,yes,no
no,906,yes,no
no,187,yes,no
no,852,yes,yes
no,143,yes,no
no,71,no,no
no,1496,yes,no
no,703,yes,no
no,732,yes,no
no,21,yes,no
no,276,yes,no
no,0,yes,no
no,550,yes,no
no,268,yes,no
no,-825,yes,no
no,137,yes,yes
no,42,yes,yes
no,54,no,no
no,1716,yes,no
no,270,yes,no
no,803,yes,no
no,102,yes,no
no,188,yes,no
no,207,yes,no
no,1466,yes,no
no,350,yes,no
no,159,yes,no
no,157,yes,yes
no,0,no,no
no,91,yes,no
no,849,yes,no
no,436,yes,no
no,-1,yes,no
no,297,yes,no
no,313,yes,yes
no,310,yes,no
no,475,yes,no
no,61,yes,no
no,1377,yes,no
no,56,no,no
no,0,yes,no
no,73,no,no
no,660,yes,no
no,-79,yes,no
no,558,yes,no
no,342,yes,no
no,-4,yes,no
no,225,yes,no
no,267,yes,no
no,46,yes,no
no,624,yes,no
no,1107,yes,yes
no,573,yes,no
no,406,yes,no
no,220,yes,no
no,2308,yes,no
no,139,yes,no
no,367,yes,no
no,278,yes,no
no,229,yes,no
no,1722,yes,no
no,-500,yes,no
no,308,yes,no
no,1026,yes,yes
no,548,yes,no
no,356,yes,yes
no,164,yes,no
no,211,no,no
no,19,yes,no
no,108,yes,yes
no,308,yes,no
no,7,yes,yes
no,16,yes,yes
no,867,yes,no
no,277,yes,no
no,196,yes,no
no,365,yes,yes
no,1310,no,no
no,186,no,no
no,148,yes,no
no,862,yes,yes
no,359,yes,no
no,190,no,no
no,4,yes,yes
no,0,yes,no
no,42,yes,no
no,2605,yes,no
no,60,yes,yes
no,98,yes,no
no,-181,yes,no
no,118,yes,no
no,-15,yes,no
no,671,yes,no
no,1557,yes,no
no,-20,yes,no
no,323,yes,no
no,-171,yes,no
no,438,yes,no
no,316,yes,no
no,174,yes,no
no,442,yes,no
no,786,yes,no
no,-317,yes,no
no,667,yes,no
no,-158,yes,no
no,72,yes,no
no,58,yes,no
no,396,yes,yes
no,10,yes,no
no,2887,yes,no
no,0,no,no
no,89,no,no
no,50,yes,no
no,29,yes,no
no,420,yes,no
no,114,yes,no
no,365,yes,no
no,0,yes,no
no,-24,yes,no
no,743,yes,no
no,0,no,no
no,99,yes,no
no,22,yes,yes
no,251,yes,no
no,615,yes,no
no,136,yes,no
no,2167,yes,no
no,309,yes,no
no,221,yes,no
no,321,yes,no
no,-33,yes,no
no,76,yes,no
no,42,yes,no
no,76,yes,no
no,1293,yes,no
no,526,yes,no
no,873,yes,no
no,40,yes,no
no,117,yes,no
no,671,yes,no
no,145,yes,no
no,1807,no,no
no,-212,yes,yes
no,133,yes,no
no,566,no,no
no,1924,yes,no
no,145,yes,no
no,487,yes,no
no,-57,yes,no
no,81,yes,no
no,-227,yes,no
no,2710,yes,yes
no,98,yes,no
no,1230,yes,yes
no,78,yes,yes
no,137,yes,yes
yes,354,yes,no
no,149,yes,no
no,126,yes,no
no,0,yes,no
no,8266,yes,no
no,51,yes,no
no,258,yes,no
no,117,yes,no
no,199,yes,yes
no,219,yes,no
no,1571,yes,no
no,223,yes,no
no,-79,no,no
no,321,yes,no
no,2527,yes,no
no,5,yes,no
no,20,yes,no
no,1045,yes,yes
no,1,yes,no
no,3,yes,no
no,-55,yes,no
no,141,yes,no
no,374,yes,no
no,93,yes,no
no,460,yes,no
no,78,yes,no
no,135,yes,no
no,367,yes,yes
no,248,yes,no
no,630,yes,no
no,-30,yes,no
no,157,yes,no
no,268,yes,no
no,164,yes,no
no,-97,yes,no
no,53,yes,no
no,788,yes,no
no,1904,yes,yes
no,260,yes,no
no,447,yes,no
no,720,yes,no
no,2827,yes,no
no,0,no,no
no,1117,yes,no
no,597,yes,no
no,362,yes,no
no,120,yes,no
no,89,yes,yes
no,442,yes,no
no,111,yes,no
no,247,yes,no
no,1,yes,no
no,6,yes,no
yes,-947,yes,no
no,191,yes,no
no,-147,yes,no
no,703,yes,no
no,70,no,no
no,83,yes,no
no,125,yes,no
no,190,yes,yes
no,46,yes,no
no,1348,yes,no
no,420,yes,no
no,96,yes,no
no,271,yes,no
no,1320,yes,yes
no,54,yes,no
no,198,yes,no
no,1094,yes,no
no,141,yes,yes
no,207,yes,no
no,-206,yes,no
no,177,yes,no
no,176,yes,no
no,-413,yes,no
no,-81,yes,no
no,3837,yes,no
no,870,yes,yes
no,206,yes,no
no,316,yes,no
yes,57,yes,yes
no,1,yes,no
yes,-7,no,no
no,611,yes,no
no,157,yes,no
no,233,yes,no
no,419,yes,yes
no,134,yes,no
no,2087,no,no
no,103,yes,no
no,281,yes,no
no,133,yes,no
no,1865,yes,no
no,325,yes,no
no,-18,yes,no
no,49,yes,no
no,7444,yes,yes
no,59,yes,yes
no,45,yes,no
no,387,yes,no
no,5,yes,yes
no,71,yes,no
no,96,yes,no
no,72,yes,no
no,1715,yes,no
no,181,yes,no
yes,20,yes,no
no,65,yes,no
no,81,yes,no
no,226,yes,yes
no,1128,yes,no
no,582,yes,no
no,5611,yes,no
no,177,yes,no
no,181,yes,no
no,0,yes,no
no,734,yes,no
no,322,yes,no
no,134,yes,no
no,10350,yes,no
no,84,yes,no
no,620,yes,no
no,254,yes,no
no,0,yes,no
no,5903,yes,no
no,134,yes,yes
no,1381,yes,no
no,104,yes,no
no,318,yes,no
no,2151,yes,no
no,-8,yes,no
no,185,yes,no
no,1773,no,no
no,40,yes,no
no,44,yes,no
no,0,yes,no
no,0,yes,no
no,3058,yes,no
no,130,yes,no
no,507,yes,no
no,844,yes,no
no,458,yes,no
yes,-744,yes,no
no,-2,yes,no
no,129,yes,no
no,411,yes,no
no,643,yes,no
no,391,yes,no
no,80,yes,yes
no,10,yes,no
no,114,yes,yes
no,1,yes,no
no,1341,yes,no
no,4,yes,no
no,2770,yes,no
no,5956,yes,no
no,55,yes,no
no,131,yes,no
no,1942,yes,no
no,298,yes,no
no,291,no,no
no,85,yes,no
no,797,yes,no
no,152,yes,no
no,481,yes,no
no,66,yes,no
no,4586,yes,no
no,1798,yes,no
no,220,yes,no
no,715,yes,no
no,442,yes,no
no,85,yes,no
no,319,yes,no
no,-29,yes,no
no,303,no,no
no,2398,yes,no
no,31,no,no
no,1832,yes,no
no,2019,yes,no
no,3,yes,no
no,397,no,no
no,1161,yes,no
no,777,yes,no
no,47,yes,no
no,-58,yes,no
no,1513,yes,no
no,121,no,no
no,904,yes,no
no,697,yes,no
no,841,yes,no
no,7317,yes,no
no,-95,yes,no
no,751,yes,no
no,250,yes,no
no,365,yes,no
no,1315,yes,no
no,65,yes,no
no,1852,no,no
no,-84,yes,no
no,36,yes,no
no,125,yes,no
no,0,no,no
no,105,yes,no
no,432,yes,no
no,555,yes,no
no,-24,yes,no
no,2261,yes,no
no,804,yes,yes
yes,-617,yes,no
no,-1,yes,no
no,237,yes,no
no,514,yes,no
no,1988,yes,no
no,491,yes,no
no,675,yes,no
no,177,yes,no
no,340,yes,no
no,230,yes,no
yes,0,no,no
no,2331,yes,no
no,0,yes,no
no,217,yes,no
no,186,yes,no
no,168,yes,yes
no,145,yes,no
no,140,yes,no
no,-22,yes,no
no,389,yes,no
no,323,yes,yes
no,6,yes,no
no,225,yes,yes
no,142,yes,no
no,5,no,no
no,174,yes,yes
no,-768,yes,no
no,30,no,no
no,968,yes,yes
no,47,yes,yes
no,0,yes,yes
no,91,yes,no
no,-77,yes,no
no,486,yes,no
no,341,yes,no
no,50,yes,no
no,205,yes,no
no,762,yes,no
no,31,yes,no
yes,-581,yes,no
no,-45,yes,no
no,0,no,no
no,120,yes,yes
no,335,yes,no
no,-232,yes,no
no,785,yes,no
no,28,yes,no
no,2067,yes,no
no,448,yes,no
no,37,yes,no
no,301,yes,no
no,668,no,no
no,115,yes,yes
no,275,no,no
no,414,no,no
no,3,yes,no
no,496,no,no
no,150,yes,no
no,163,no,no
no,1322,yes,no
no,1713,yes,no
no,242,yes,no
no,-29,no,no
no,381,yes,no
no,82,yes,no
no,21,yes,no
no,1801,yes,no
no,640,yes,yes
no,113,yes,no
no,1042,yes,no
no,240,yes,no
no,-244,yes,no
no,70,yes,yes
no,-339,yes,no
no,59,yes,no
no,1222,yes,no
no,-41,yes,no
no,0,yes,no
no,6,yes,no
no,4,yes,no
no,20,yes,yes
no,846,yes,no
no,338,yes,no
no,90,yes,yes
no,406,yes,no
no,2,no,no
no,2211,no,no
no,87,yes,no
no,178,yes,no
no,185,yes,yes
no,-210,yes,no
no,388,yes,no
no,1,yes,no
yes,879,yes,no
no,214,yes,no
no,698,yes,no
no,1601,yes,no
no,717,yes,no
no,255,yes,no
no,375,yes,no
no,587,yes,no
no,644,yes,yes
no,0,yes,no
no,-275,yes,no
no,116,yes,no
no,37,yes,yes
no,753,yes,no
no,162,yes,no
no,984,yes,no
no,199,yes,no
no,241,yes,no
no,648,yes,yes
no,907,yes,yes
no,6322,no,no
no,125,yes,yes
no,90,yes,no
no,54,yes,yes
no,-132,no,no
no,267,no,no
no,289,yes,no
no,613,yes,no
no,618,yes,no
no,1786,yes,no
no,607,yes,yes
no,586,yes,yes
no,459,yes,no
no,298,yes,no
no,134,no,no
no,34,yes,no
no,1378,yes,no
no,417,yes,yes
no,25,yes,no
no,22,yes,no
no,398,yes,no
no,1164,yes,no
no,487,yes,no
no,1069,yes,no
no,-192,yes,no
no,0,yes,no
no,332,yes,no
no,121,yes,no
no,68,yes,no
no,-176,yes,no
no,527,yes,yes
no,193,yes,no
no,7601,yes,no
no,751,no,no
no,495,yes,no
no,670,yes,no
no,363,yes,no
no,376,yes,no
no,292,yes,no
no,0,no,no
no,184,yes,no
no,80,yes,no
no,1824,yes,no
no,2850,no,no
no,48,yes,no
no,76,no,no
no,336,yes,no
no,0,no,yes
no,433,yes,no
no,103,yes,yes
no,1164,yes,no
no,129,yes,no
no,5873,no,no
no,0,yes,no
no,82,yes,no
no,362,yes,no
no,186,yes,no
no,1216,yes,no
no,704,yes,no
no,205,yes,no
no,830,yes,no
no,-315,yes,no
no,64,yes,yes
no,-820,no,no
no,538,yes,yes
no,948,yes,no
no,1288,yes,no
no,70,yes,no
no,393,yes,no
no,365,yes,no
no,879,yes,yes
